method,k,silhouette,ARI_vs_PH,NMI_vs_PH,sizes
kmeans,2,0.13596282742074955,0.5996164234362242,0.5121974410828364,"[186, 83]"
gmm,2,0.14004886224690866,0.5876751696184113,0.511308775620934,"[80, 189]"
spectral,2,0.14057158629205777,0.6110353999111062,0.5416359842919459,"[189, 80]"
kmeans,3,0.08586380296538186,0.334300558486446,0.339582157321903,"[72, 74, 123]"
gmm,3,0.08377613591532887,0.4275281309058651,0.3917422430792885,"[37, 148, 84]"
spectral,3,0.06667747756265406,0.4455107344812865,0.4279857121236747,"[146, 42, 81]"
kmeans,4,0.1058960529715073,0.19308960286021473,0.23303012051279545,"[79, 48, 76, 66]"
gmm,4,0.08379948252612218,0.2869680510452775,0.3447085874889952,"[44, 101, 90, 34]"
spectral,4,0.09194623162465516,0.34821610897773114,0.36202823403328654,"[41, 111, 81, 36]"
kmeans,5,0.12026695478006681,0.1711265877938512,0.22653621485559755,"[38, 64, 74, 39, 54]"
gmm,5,0.08210603170398337,0.16530749206281892,0.20445483042574716,"[49, 32, 47, 95, 46]"
spectral,5,0.09042121822069,0.1730114446243653,0.22863954862517508,"[70, 58, 71, 31, 39]"
kmeans,6,0.14154890034441972,0.18242273066194648,0.2766606355668,"[31, 39, 40, 34, 79, 46]"
gmm,6,0.10227735013556878,0.17667549809763758,0.26506723731664256,"[48, 70, 40, 37, 38, 36]"
spectral,6,0.10668592395877483,0.20429214307650848,0.2847552319007217,"[36, 82, 38, 34, 30, 49]"
