panel,model,n_features,n_folds,pooled_oof_auc,pooled_oof_auc_ci_lo,pooled_oof_auc_ci_hi,auc_mean,auc_std,acc_mean,acc_std,sens_mean,sens_std,spec_mean,spec_std,prec_mean,prec_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,thr_mean,thr_std
P5_all_clean,GradBoost,141,50,0.8891161099750057,0.8366414878411222,0.9412129246985589,0.8773693181818181,0.0632122566352253,0.766842105263158,0.07041822038203503,0.7693939393939395,0.08052210682655392,0.7533333333333333,0.15888500383750648,0.9499834522224134,0.03222611345452605,0.8477369841068342,0.05251966428847816,0.978372952830375,0.011866538188540375,0.10009971738925204,0.03376684922465777,0.993047663418006,0.00180366796678522
P4_lung_topology_ssl,GradBoost,129,50,0.863667348329925,0.8042935316360806,0.917851711096289,0.8580719696969696,0.06600793854607133,0.7689473684210526,0.06256077377648445,0.7761363636363637,0.07378613844316868,0.7273333333333335,0.19086819186723247,0.9462439583281181,0.03527767962408626,0.8504349432342353,0.04574023335920379,0.9749028340858072,0.012996034340101477,0.1102348445542681,0.03186569678844806,0.9892280711788335,0.0030210013277388523
P5_all_clean,RandomForest,141,50,0.862531242899341,0.800055032455803,0.9268416927899686,0.8565416666666666,0.07343973847769461,0.8605263157894737,0.03693597065162685,0.9392234848484848,0.04402897493904141,0.38733333333333336,0.18413642285605047,0.903115743301317,0.026982106872992902,0.9199229214672866,0.022873577558144866,0.9722134462780206,0.01634176538195413,0.09512712581017309,0.014993332421850247,0.5855266661246405,0.03801889400328539
P3_lung_topology,GradBoost,126,50,0.8559418314019541,0.7920510369773661,0.9158126327737671,0.8483503787878788,0.07338159796195627,0.7557894736842107,0.06425365247171305,0.7675757575757575,0.07348659596485183,0.6886666666666668,0.19454905122701918,0.9377573586631541,0.03741575045186619,0.8418757954181859,0.046924968833203635,0.9721794304500695,0.014848639149667546,0.10578637083022191,0.032296860300865045,0.9887398039764917,0.002865086416322788
P4_lung_topology_ssl,RandomForest,129,50,0.8475346512156328,0.7819444444444444,0.9099241840476596,0.8445738636363636,0.07515495225312296,0.8663157894736842,0.04270623742126483,0.9447159090909091,0.04489990286152397,0.39399999999999996,0.2449208488924988,0.9052443095422273,0.035403097948363015,0.9235128690535066,0.025724550465373117,0.9704936108710944,0.016104387896957343,0.09700471343624179,0.014953434704019828,0.5875622352667805,0.0482007793515393
P3_lung_topology,ElasticNet,126,50,0.8429902294932968,0.7581373274161737,0.9267382413087933,0.7514071969696969,0.11518241836683316,0.7494736842105263,0.09650972709433342,0.7693750000000001,0.10539652930245698,0.6293333333333334,0.21752547743501988,0.9265185742369633,0.042603429537771124,0.8367769893081918,0.07243286981342445,0.9417796008600543,0.03369757387351483,0.14780263830332366,0.046601923414946726,0.6170202250562591,0.07809545742034214
P4_lung_topology_ssl,ElasticNet,129,50,0.8384458077709611,0.7505703242835596,0.9242203789799944,0.7591193181818181,0.11899000119137206,0.756842105263158,0.09452608135007852,0.779223484848485,0.10520846289166394,0.6213333333333333,0.21476188364480944,0.926350751538435,0.0415998329805727,0.8424104210905042,0.07143383218146689,0.944271894584378,0.033506703637898774,0.14357922781590235,0.04181345402416243,0.6207195832226741,0.0725597241679747
P1_lung_only,ElasticNet,46,50,0.837536923426494,0.740625,0.9240940637692514,0.7993409090909092,0.10567693041537314,0.8147368421052633,0.07157894736842105,0.8461174242424242,0.07764048563576002,0.6273333333333333,0.19626399454702728,0.9324664125381326,0.03561510090122699,0.8851848301685818,0.04890469279680653,0.95609702948034,0.028533676832727978,0.1568013402057324,0.05027171771594807,0.5804224504902857,0.10898287967485089
P5_all_clean,ElasticNet,141,50,0.8373097023403773,0.7491151480923696,0.9179316465613571,0.7894469696969696,0.10617962099480556,0.7863157894736843,0.09140940143311359,0.8116856060606061,0.10037593084842038,0.632,0.20176554050018883,0.9300762341982096,0.03836834327335046,0.8636958784727409,0.06964228256794887,0.9499984439030044,0.03617005638339719,0.12870893645825265,0.029130269893016834,0.6137392197790751,0.03987487099164911
P3_lung_topology,RandomForest,126,50,0.8357191547375596,0.7676993974961761,0.9045549374601011,0.8341496212121211,0.08268293861187,0.8626315789473685,0.04187105916462906,0.9396969696969697,0.04643800358786771,0.3966666666666667,0.21419098435223125,0.9048605078895078,0.030666055402048847,0.9210265282833145,0.026037859239213288,0.9672923859142909,0.01977408036723275,0.0982102117758118,0.014567156314154452,0.6021338111384471,0.04573703552405929
P1_lung_only,RandomForest,46,50,0.8166325835037491,0.7414796664969483,0.8938951430722891,0.8218693181818182,0.07284352493077192,0.8463157894736841,0.042874551272455375,0.9331628787878788,0.048215951347060575,0.32266666666666666,0.17744357475609598,0.8933105654430082,0.02628188545208538,0.9119381236512543,0.02634570650845944,0.9653958720768592,0.01756706592601602,0.10544381220319926,0.019201510328074295,0.4989427563635389,0.02741038040997596
P1_lung_only,GradBoost,46,50,0.8023176550783914,0.7104643951038676,0.8863904048446246,0.8055558712121212,0.08550482772787839,0.7584210526315788,0.06692493831466005,0.7693939393939392,0.07406931348530008,0.6966666666666668,0.21356757972855128,0.9396477676922302,0.04177724072988138,0.8436270171281781,0.04805829709724725,0.9581279583766382,0.026138679206104663,0.11960268084329145,0.028819866834416556,0.9759816905309632,0.006285650815728452
