feature,n,threshold,slope_low,slope_high,delta_aic_vs_linear,boot_freq_within_2mmHg,ci95_lo,ci95_hi,ci_width,gate_delta_aic_ge_10,gate_boot_freq_ge_0.70,gate_ci_width_le_8,all_gates_pass
vein_tort_sd,102,30.200000000000003,-0.0025795218705410437,0.00201117047462053,5.130485381774065,0.64,18.770000000000003,45.80000000000001,27.03000000000001,False,False,False,False
artery_total_vol_proxy_mm3,102,41.00000000000001,676.1389346063391,-2199.6993155878417,3.4830423294797583,0.284,23.510000000000005,45.80000000000001,22.290000000000006,False,False,False,False
vein_diam_kurt,102,45.80000000000001,-0.04003157969210154,0.2979695924404399,3.215781824412943,0.622,18.2,45.80000000000001,27.600000000000012,False,False,False,False
vein_tort_mean,102,29.000000000000004,-0.0018578310627434442,0.0005096421337479869,3.1166511249825817,0.552,18.2,45.80000000000001,27.600000000000012,False,False,False,False
vein_diam_p25,102,45.80000000000001,0.013842523380858559,-0.039053855023674325,3.0598049386006636,0.606,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_max_degree,102,27.800000000000004,0.03336056174956047,-0.03229373453742025,2.8591762722473826,0.346,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_tort_p90,102,45.80000000000001,-0.0014756824645870404,0.005919184519975808,2.764234797535096,0.336,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_tort_p75,102,26.6,-0.00238429790755909,0.0002851243274140636,2.374877163829069,0.492,17.0,44.60000000000001,27.60000000000001,False,False,False,False
vein_diam_skew,102,45.80000000000001,-0.011157354928994364,0.04726279781102908,2.1789375463426808,0.488,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_sd,102,45.80000000000001,-0.017288431402905268,0.22111849531727587,1.6450156259522828,0.664,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_p75,102,18.2,-0.005579989378814003,-4.741889438184942e-05,1.5370448599094289,0.54,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_p50,102,17.0,-0.005408515067712992,-3.751027203231002e-05,1.3224999868619989,0.382,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_kurt,102,37.400000000000006,0.14377673654439402,-0.0997211792858935,1.2116304644879392,0.584,18.2,45.80000000000001,27.600000000000012,False,False,False,False
artery_diam_skew,102,37.400000000000006,0.01975488784052853,-0.01841288630187883,1.0801790518410854,0.472,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_kurt,102,35.00000000000001,1.4266562405246441,-0.43795483263854984,1.0213626947984267,0.708,30.200000000000003,45.80000000000001,15.600000000000009,False,True,False,False
artery_n_branches,102,37.400000000000006,2.9974888507258495,-2.24223246187362,0.859271446732464,0.434,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_diam_p50,102,45.80000000000001,0.017387664158642086,-0.03798713169054097,0.8041762663471062,0.474,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_n_edges,102,37.400000000000006,12.23851929819888,-8.874691646515389,0.7950723816388745,0.428,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_n_branches,102,45.80000000000001,-0.1680032076243933,3.2650473568727962,0.7909215350689465,0.586,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_mean,102,18.2,-0.00385347448148985,5.343299225821609e-05,0.7714831188352491,0.49,17.0,45.22999999999998,28.229999999999983,False,False,False,False
artery_n_nodes,102,37.400000000000006,6.196922076126515,-4.32511456614225,0.7051217537357388,0.418,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_p90,102,17.0,-1.084764583567835,-0.0945697574467359,0.5768719081075915,0.454,17.0,45.22999999999998,28.229999999999983,False,False,False,False
vein_n_edges,102,45.80000000000001,-0.7323534147199713,12.815977950606337,0.527083501679499,0.58,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_total_len_mm,102,37.400000000000006,42.70374202623635,-35.38894157826633,0.4671535199445316,0.452,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_kurt,102,33.800000000000004,0.14293056903516116,-0.434609931142038,0.4367421892088714,0.474,17.0,35.00000000000001,18.000000000000007,False,False,False,False
vein_tort_p50,102,45.80000000000001,-0.00010420262494522906,-0.001984333153733272,0.3739891714951682,0.556,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_skew,102,33.800000000000004,0.013672824094100318,-0.0439919938767297,0.35798068498172597,0.496,17.0,42.82999999999998,25.829999999999977,False,False,False,False
vein_n_nodes,102,45.80000000000001,-0.3926888689109945,6.29907879231853,0.2915216795906872,0.57,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_tort_skew,102,17.0,-0.21904164127388617,0.016745555616095503,0.24157940070135453,0.408,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_p25,102,17.0,-0.0040017216383843235,7.444730335836626e-05,0.22485700592676494,0.554,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_p50,102,43.400000000000006,-0.013302100998074985,0.025519092432404206,0.05900006181749973,0.262,18.2,45.80000000000001,27.600000000000012,False,False,False,False
vein_total_len_mm,102,45.80000000000001,-9.403133399117094,45.05761946210252,-0.37459550120661333,0.462,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_mean,102,17.0,-0.4385920608565677,-0.03374360855425235,-0.37769589659438907,0.338,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_skew,102,35.00000000000001,0.0812618341931336,0.004909604101880509,-0.39706683757754035,0.478,25.400000000000002,45.80000000000001,20.40000000000001,False,False,False,False
vein_diam_sd,102,38.60000000000001,-0.02051213149301647,0.039733117835471725,-0.428122508394992,0.114,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_p10,102,17.0,-0.0031143499831260473,-8.134083357636945e-05,-0.5242117106878368,0.396,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_len_kurt,102,41.00000000000001,0.33236301095318166,-0.2453046667468122,-0.5272113888796639,0.556,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_tort_p25,102,45.80000000000001,-0.0002070517496573802,-0.0017507898735671262,-0.5489541391455077,0.432,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_tort_kurt,102,17.0,-1.784571158931901,0.12898464584883373,-0.5559118329285866,0.322,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_branch_per_node,102,19.400000000000002,-0.004262367322371273,0.0017199920437242049,-0.5723557089232827,0.458,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_total_vol_proxy_mm3,102,43.400000000000006,-436.74051587717474,1354.8463690159713,-0.641623152804641,0.172,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_mean_degree,102,19.400000000000002,-0.01674591738674338,0.006774496388202413,-0.6534162646547657,0.446,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_tortuosity_proxy,102,19.400000000000002,-0.007880455712270217,0.0032149121252947185,-0.6585302298253168,0.41,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_len_p25,102,32.60000000000001,-0.12651900773833413,-0.003602046189261271,-0.6746714336738364,0.284,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_diam_p10,102,21.8,-0.01885176056051068,0.00524577760293499,-0.7635587015194005,0.158,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_p90,102,25.400000000000002,-0.0019401539705839836,0.0011794408141121986,-0.7839515568527418,0.262,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_len_p10,102,32.60000000000001,-0.09458348317056188,-0.005871444302462003,-0.813960667484281,0.224,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_max_degree,102,17.0,0.10834346474484179,-0.005088263389950845,-0.8344238517749822,0.448,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_p50,102,17.0,-0.3459855111223365,-0.03458019331709872,-0.8373500555572093,0.364,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_p25,102,20.6,0.02791877157094179,-0.0019384212500388083,-0.8386930888338213,0.188,19.400000000000002,45.80000000000001,26.40000000000001,False,False,False,False
vein_len_p50,102,18.2,0.3612908644343204,-0.15696189596789334,-0.8530839209144006,0.516,17.0,45.22999999999998,28.229999999999983,False,False,False,False
vein_tort_p10,102,31.400000000000006,-0.000902809078445831,1.0730419468155876e-05,-0.9171508394503007,0.262,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_len_p90,102,35.00000000000001,-0.3915772519144298,-0.1086325779620698,-0.9869296584985818,0.332,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_len_mean,102,33.800000000000004,-0.2076255859341471,-0.047906087153912966,-1.0656348758569152,0.312,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_p75,102,37.400000000000006,-0.042462121752380545,-0.0006240268301591547,-1.1325523761478706,0.11,19.400000000000002,45.80000000000001,26.40000000000001,False,False,False,False
vein_len_skew,102,41.00000000000001,0.03154513080573992,-0.009895966881767172,-1.1665984799942777,0.404,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_p25,102,17.0,-0.19658149170644504,-0.012730908951487152,-1.1800259676856797,0.388,17.0,45.80000000000001,28.80000000000001,False,False,False,False
