feature,rho,p,boot_lo,boot_hi,n,abs_rho,p_holm,holm_significant
artery_len_p75,-0.33281190605897276,0.0006313276011708268,-0.49116407655105637,-0.12030318157994123,102,0.33281190605897276,0.04545558728429953,True
artery_len_p90,-0.3122385523734218,0.0013989708509113273,-0.48131451080457266,-0.10273480646394759,102,0.3122385523734218,0.09932693041470424,False
artery_len_mean,-0.2969047271567432,0.0024433041308542535,-0.4709085400850074,-0.10228336320198891,102,0.2969047271567432,0.17103128915979773,False
vein_len_p90,-0.28645961964752226,0.003512972500270397,-0.4477601366219179,-0.11348286887226065,102,0.28645961964752226,0.2423951025186574,False
artery_len_p50,-0.2806033432271303,0.004281293702190949,-0.45293874416440244,-0.08124877806801023,102,0.2806033432271303,0.2911279717489845,False
artery_diam_p75,-0.24540130877584396,0.012917875145330123,-0.4154320559147287,-0.037265045291456356,102,0.24540130877584396,0.8654976347371183,False
artery_diam_sd,-0.23696135285951342,0.016486854089517184,-0.41021441481722615,-0.0434547338874179,102,0.23696135285951342,1.0,False
vein_len_mean,-0.2343415886250772,0.017755557796504118,-0.40049938581768774,-0.06486480782365821,102,0.2343415886250772,1.0,False
artery_len_skew,0.22258942811768184,0.024536275958215847,0.023229968200041615,0.38146458275251194,102,0.22258942811768184,1.0,False
vein_len_p75,-0.22210847788025834,0.024855411034245628,-0.39385030841613694,-0.04109697174414288,102,0.22210847788025834,1.0,False
artery_len_kurt,0.21395495679640822,0.03082861821407191,0.02478351133826236,0.3743652546642686,102,0.21395495679640822,1.0,False
artery_len_p25,-0.2112220278002253,0.0330848132879842,-0.3820583496029688,-0.02170603074064378,102,0.2112220278002253,1.0,False
vein_len_sd,-0.20943402456462737,0.03463499991552633,-0.36929028182843976,-0.03787747090744443,102,0.20943402456462737,1.0,False
artery_len_p10,-0.20398288887662264,0.03974294224643876,-0.37772672011701774,-0.007563772465179108,102,0.20398288887662264,1.0,False
vein_len_skew,0.20039216010106561,0.043440284047550896,0.017538755882179933,0.3637118180879251,102,0.20039216010106561,1.0,False
artery_diam_p90,-0.19767054758105734,0.04642964149739108,-0.38821518291424983,0.002302173112647238,102,0.19767054758105734,1.0,False
