feature,category,n_total,n_missing,missing_frac,n_finite,std,n_unique,near_zero_sd,constant
artery_branch_per_node,2_branching_topology,290,0,0.0,290,0.05485105943510134,251,False,False
artery_diam_kurt,3_diameter_length_distribution,290,0,0.0,290,6.236426509133071,290,False,False
artery_diam_mean,3_diameter_length_distribution,290,0,0.0,290,1.3006400873852884,290,False,False
artery_diam_p10,3_diameter_length_distribution,290,0,0.0,290,0.47500789319245257,243,False,False
artery_diam_p25,3_diameter_length_distribution,290,0,0.0,290,0.6693426210937793,260,False,False
artery_diam_p50,3_diameter_length_distribution,290,0,0.0,290,1.1109074640003707,272,False,False
artery_diam_p75,3_diameter_length_distribution,290,0,0.0,290,2.1126251648630614,286,False,False
artery_diam_p90,3_diameter_length_distribution,290,0,0.0,290,3.0582118717236875,287,False,False
artery_diam_sd,3_diameter_length_distribution,290,0,0.0,290,0.9310990449529248,290,False,False
artery_diam_skew,3_diameter_length_distribution,290,0,0.0,290,0.8981249423934865,290,False,False
artery_len_kurt,3_diameter_length_distribution,290,0,0.0,290,40.75001324543929,290,False,False
artery_len_mean,3_diameter_length_distribution,290,0,0.0,290,3.3441508453473596,290,False,False
artery_len_p10,3_diameter_length_distribution,290,0,0.0,290,1.3671450328377441,270,False,False
artery_len_p25,3_diameter_length_distribution,290,0,0.0,290,1.8077513267051561,281,False,False
artery_len_p50,3_diameter_length_distribution,290,0,0.0,290,2.8194095157232737,288,False,False
artery_len_p75,3_diameter_length_distribution,290,0,0.0,290,4.886855529735302,290,False,False
artery_len_p90,3_diameter_length_distribution,290,0,0.0,290,7.103437584324814,290,False,False
artery_len_sd,3_diameter_length_distribution,290,0,0.0,290,3.174252659907249,290,False,False
artery_len_skew,3_diameter_length_distribution,290,0,0.0,290,2.166603209857277,290,False,False
artery_max_degree,2_branching_topology,290,0,0.0,290,0.9845240852827569,3,False,False
artery_mean_degree,2_branching_topology,290,0,0.0,290,0.21969921666124734,260,False,False
artery_n_branches,2_branching_topology,290,0,0.0,290,122.75372750363336,159,False,False
artery_n_edges,1_basic_graph_size,290,0,0.0,290,496.7477832340611,195,False,False
artery_n_nodes,1_basic_graph_size,290,0,0.0,290,250.06039812114858,205,False,False
artery_tort_kurt,3_diameter_length_distribution,290,0,0.0,290,16.58311270867584,290,False,False
artery_tort_mean,3_diameter_length_distribution,290,0,0.0,290,0.03287893315625671,290,False,False
artery_tort_p10,3_diameter_length_distribution,290,0,0.0,290,0.021352123115183776,117,False,False
artery_tort_p25,3_diameter_length_distribution,290,0,0.0,290,0.02944624492836627,255,False,False
artery_tort_p50,3_diameter_length_distribution,290,0,0.0,290,0.03563921098878575,289,False,False
artery_tort_p75,3_diameter_length_distribution,290,0,0.0,290,0.03785768997060108,290,False,False
artery_tort_p90,3_diameter_length_distribution,290,0,0.0,290,0.07081349152331394,290,False,False
artery_tort_sd,3_diameter_length_distribution,290,0,0.0,290,0.057439988871762375,290,False,False
artery_tort_skew,3_diameter_length_distribution,290,0,0.0,290,1.4855963191748682,290,False,False
artery_tortuosity_proxy,3_diameter_length_distribution,290,0,0.0,290,0.10093544779362858,268,False,False
artery_total_len_mm,3_diameter_length_distribution,290,0,0.0,290,1735.556256053652,290,False,False
artery_total_vol_proxy_mm3,1_basic_graph_size,290,0,0.0,290,36070.155929129694,290,False,False
vein_branch_per_node,2_branching_topology,290,0,0.0,290,0.07089712248922656,262,False,False
vein_diam_kurt,3_diameter_length_distribution,290,0,0.0,290,6.132936107772505,290,False,False
vein_diam_mean,3_diameter_length_distribution,290,0,0.0,290,1.533335950422529,290,False,False
vein_diam_p10,3_diameter_length_distribution,290,0,0.0,290,0.49017185969504884,250,False,False
vein_diam_p25,3_diameter_length_distribution,290,0,0.0,290,0.6737973371610128,265,False,False
vein_diam_p50,3_diameter_length_distribution,290,0,0.0,290,1.0434677468419502,273,False,False
vein_diam_p75,3_diameter_length_distribution,290,0,0.0,290,2.19959801822186,285,False,False
vein_diam_p90,3_diameter_length_distribution,290,0,0.0,290,4.304894676244949,290,False,False
