feature,n_PH,n_nonPH,PH_mean,nonPH_mean,cohen_d,boot_d_ci_lo,boot_d_ci_hi,mwu_u,p_raw,p_holm,holm_sig,p_fdr,fdr_sig,abs_d
vein_persH1_total,163,27,773.6008542355601,1076.121260830133,-1.2072170192707423,-1.707471754731489,-0.7867458407861774,828.0,2.172600802458298e-07,3.693421364179106e-05,True,1.2456244600760908e-05,True,1.2072170192707423
paren_HU_p95,157,27,-621.0636942675159,-682.8148148148148,1.1428660413634302,0.6463409543070857,1.6244028409489724,3335.0,2.0038489185199647e-06,0.00033664661831135406,True,6.893240279708679e-05,True,1.1428660413634302
paren_std_HU,157,27,94.27668271398848,78.63111651385272,1.0956630201654107,0.799519350674701,1.4921081861037295,3571.0,1.3790103437536435e-08,2.3718977912562667e-06,True,2.3718977912562667e-06,True,1.0956630201654107
vein_persH0_total,163,27,7620.253469028535,9762.998328864333,-1.034812929350325,-1.493794649386722,-0.6512130174929783,936.0,1.789370392375275e-06,0.00030240359631142144,True,6.893240279708679e-05,True,1.034812929350325
paren_HU_p75,157,27,-756.9808917197453,-812.5185185185185,0.8416195034451677,0.41600906187173065,1.2855956189402329,3130.5,7.717400243835666e-05,0.01273371040232885,True,0.0016592410524246682,True,0.8416195034451677
middle_n_voxels,163,27,4717455.656441717,7164421.962962963,-0.826172269946178,-1.4306002778104285,-0.2923113359878006,1368.0,0.0016687946390964825,0.2536567851426653,False,0.01321855205163235,True,0.826172269946178
basal_n_voxels,163,27,2542228.607361963,4038309.111111111,-0.8241709133404242,-1.40363679293887,-0.31948948965108587,1316.0,0.0008375356412683356,0.13122475438341244,False,0.008473890017538455,True,0.8241709133404242
paren_n_voxels,163,27,10133000.963190185,15419751.111111112,-0.8087320375876211,-1.4271771677699185,-0.2652377773867357,1383.0,0.0020223434923000274,0.3033515238450041,False,0.015123612203287161,True,0.8087320375876211
whole_n_voxels,163,27,10722120.699386504,15863026.296296297,-0.8037799539639691,-1.4083308635979264,-0.25701216451449355,1403.0,0.002601165428957774,0.3823713180567928,False,0.017207709760797583,True,0.8037799539639691
vein_len_p50,163,27,10.316234478921247,14.183377892882735,-0.7610217612942736,-1.3242038607811477,-0.03433916695692828,1697.0,0.05736847232612377,1.0,False,0.14300546724772883,False,0.7610217612942736
vein_len_mean,163,27,14.754388832607152,18.54482837959572,-0.7609211292552529,-1.3204435854786125,-0.1233712541610617,1603.0,0.024092274904567505,1.0,False,0.08633065174136689,False,0.7609211292552529
apical_mean_HU,157,27,-810.2809549319517,-853.0684972692419,0.7399388262851372,0.32666746103454647,1.1666944535113153,2974.0,0.0008358264610408436,0.13122475438341244,False,0.008473890017538455,True,0.7399388262851372
middle_mean_HU,157,27,-803.5529458598726,-844.2319810655382,0.7211439571802819,0.29427642826575706,1.1309848667663187,2984.0,0.0007254723824161861,0.1146246364217574,False,0.008318749985038934,True,0.7211439571802819
vein_len_p90,163,27,31.833740088105934,38.227657643070934,-0.7197676678919313,-1.3063444955061794,-0.14309845737107746,1515.0,0.009649398042213002,1.0,False,0.04485666116920639,True,0.7197676678919313
vein_len_p75,163,27,18.743660602101517,23.830585612191094,-0.7163839057936892,-1.254168747103929,-0.09047619699881218,1644.0,0.03566348080243578,1.0,False,0.09833889723038577,False,0.7163839057936892
