cluster_method,variable,type,test,stat,pvalue,n,n_groups
gmm_k2,PH_targeted_therapy_drug_name|shsfkyy_ph_chenchang_3_0_dp,categorical,chi2,17.485714285714284,0.00015959724374639154,36,2
gmm_k2,右肺支气管体积(ml).1,numeric,kruskal,8.250343406593402,0.004074429214358319,95,2
gmm_k2,动脉(左上肺叶)容积(ml),numeric,kruskal,8.250343406593402,0.004074429214358319,95,2
gmm_k2,右上肺叶支气管体积(ml),numeric,kruskal,8.145370938735075,0.004317122336096873,95,2
gmm_k2,静脉(左上肺叶)最小密度(HU),numeric,kruskal,8.095147763578284,0.004438391981595254,92,2
gmm_k2,静脉(左上肺叶)容积(ml),numeric,kruskal,8.083731649520296,0.004466437946938186,92,2
gmm_k2,静脉(左上肺叶)血管分支数量,numeric,kruskal,7.70776480850272,0.005498379206846149,92,2
gmm_k2,etiology_y,categorical,chi2,23.06056910569106,0.006061711412626247,94,2
gmm_k2,右上肺叶支气管长度(cm),numeric,kruskal,7.523031077839946,0.0060915096506779206,95,2
gmm_k2,右上肺叶支气管数量,numeric,kruskal,7.4355045354378735,0.006394943279186955,95,2
gmm_k2,右上肺叶代,numeric,kruskal,7.324127767276458,0.006803497410164573,95,2
gmm_k2,右肺支气管数量.1,numeric,kruskal,7.274483799227825,0.006994098989376995,95,2
gmm_k2,静脉(左上肺叶)平均密度(HU),numeric,kruskal,7.2362177870486,0.007144733154433803,92,2
gmm_k2,动脉(左上肺叶)血管分支数量,numeric,kruskal,7.220780612291578,0.00720643619971297,95,2
gmm_k2,动脉(左上肺叶)最小密度(HU),numeric,kruskal,6.834297850986365,0.008942383803942428,95,2
gmm_k2,动脉(左上肺叶)平均密度(HU),numeric,kruskal,6.730769230769226,0.009476372444177551,95,2
gmm_k2,动脉(右上肺叶)容积(ml),numeric,kruskal,6.635005228815402,0.009999390223217382,95,2
gmm_k2,右肺支气管长度(cm).1,numeric,kruskal,6.634958791208817,0.009999650893775433,95,2
gmm_k2,静脉(右上肺叶)容积(ml),numeric,kruskal,5.893613036365208,0.015195892176897634,95,2
gmm_k2,左右肺支气管体积(ml).1,numeric,kruskal,5.893200549450569,0.015199451767145728,95,2
gmm_k2,右下肺叶支气管体积(ml),numeric,kruskal,5.673751153955396,0.017220594026099507,95,2
gmm_k2,动脉(右上肺叶)血管分支数量,numeric,kruskal,5.28177237288254,0.021549800606559727,95,2
gmm_k2,右下肺叶支气管数量,numeric,kruskal,5.081938308448365,0.024176327818129416,95,2
gmm_k2,右下肺叶支气管长度(cm),numeric,kruskal,4.989282816891755,0.02550477740910986,95,2
gmm_k2,右肺代,numeric,kruskal,4.788874346216364,0.02864414028629284,95,2
gmm_k2,右中肺叶支气管体积(ml),numeric,kruskal,4.663541861301243,0.03080957414010703,95,2
gmm_k2,左右肺支气管数量.1,numeric,kruskal,4.622334923451599,0.031558251578502824,95,2
gmm_k2,静脉(左上肺叶)最大密度(HU),numeric,kruskal,4.476139551364096,0.03437127464806347,92,2
gmm_k2,静脉(右上肺叶)血管分支数量,numeric,kruskal,4.464943312123201,0.03459723765330443,95,2
gmm_k2,肺血管最小密度(HU),numeric,kruskal,4.434635614403623,0.03521673639590808,95,2
gmm_k2,左右肺支气管长度(cm).1,numeric,kruskal,4.307692307692321,0.03794039600833852,95,2
gmm_k2,右肺LAA950(%)_y,numeric,kruskal,4.155219780219738,0.04150638699888878,95,2
gmm_k2,右下肺叶代,numeric,kruskal,3.9997143384493663,0.045507976156415934,95,2
gmm_k2,静脉最小密度(HU),numeric,kruskal,3.7913480734726077,0.05151814054413384,95,2
gmm_k2,左右肺LAA950(%),numeric,kruskal,3.786057692307679,0.05168123740311723,95,2
gmm_k2,右肺LAA950(ml)_y,numeric,kruskal,3.5728021978021616,0.058733120830179786,95,2
gmm_k2,mPAWP,numeric,kruskal,3.553270462528435,0.05942820974702329,103,2
gmm_k2,左右肺LAA950(ml),numeric,kruskal,3.434065934065927,0.0638646891079594,95,2
gmm_k2,右中肺叶代,numeric,kruskal,3.289886782382169,0.06970782870200237,95,2
gmm_k2,肺血管最大密度(HU),numeric,kruskal,3.2653773800022963,0.07075674071219756,95,2
gmm_k2,静脉(左下肺叶)弯曲度,numeric,kruskal,3.239027893079458,0.07190328956449724,92,2
gmm_k2,静脉(右上肺叶)最小密度(HU),numeric,kruskal,3.1660760681093287,0.07518287508548159,95,2
gmm_k2,左肺空气体积(ml)_y,numeric,kruskal,3.034340659340671,0.08151966224339352,95,2
gmm_k2,动脉最小密度(HU),numeric,kruskal,3.00797595537532,0.08285569249700049,95,2
gmm_k2,左肺容积(ml)_y,numeric,kruskal,2.9065934065934016,0.0882180330638866,95,2
