feature,cluster_0,cluster_1,cluster_2,delta
artery_sum_len,377.832,0.000,70.301,+377.832
artery_n_edges,333.767,0.000,51.474,+333.767
artery_n_nodes,194.804,1.000,31.456,+193.804
vein_sum_len,189.521,0.000,81.463,+189.521
vein_n_edges,145.344,0.000,70.105,+145.344
artery_n_leaves,136.042,0.000,23.456,+136.042
vein_n_nodes,97.302,1.000,35.702,+96.302
airway_sum_len,23.762,83.962,0.159,+83.803
vein_n_leaves,75.476,0.000,24.140,+75.476
artery_n_bifurc,49.079,0.000,7.158,+49.079
airway_n_edges,14.148,42.957,0.070,+42.886
airway_n_nodes,12.069,29.565,1.035,+28.530
airway_n_leaves,10.979,23.391,0.070,+23.321
vein_n_bifurc,18.148,0.000,10.386,+18.148
artery_max_diam,10.366,0.000,3.347,+10.366
vein_max_diam,8.893,0.000,2.345,+8.893
airway_n_bifurc,0.868,4.913,0.000,+4.913
artery_max_deg,4.905,0.000,3.368,+4.905
vein_max_deg,3.862,0.000,4.175,+4.175
airway_max_diam,3.854,3.393,0.053,+3.802
airway_p90_diam,3.379,3.055,0.053,+3.327
airway_mean_len,1.837,2.846,0.080,+2.766
artery_p90_diam,2.675,0.000,2.155,+2.675
airway_max_deg,1.259,2.652,0.035,+2.617
vein_p90_diam,2.555,0.000,1.833,+2.555
vein_mean_len,1.860,0.000,2.255,+2.255
artery_mean_len,1.908,0.000,2.244,+2.244
airway_mean_diam,2.132,2.264,0.053,+2.211
artery_mean_diam,1.957,0.000,1.692,+1.957
vein_mean_diam,1.874,0.000,1.598,+1.874
vein_density,1.347,0.000,1.764,+1.764
vein_mean_deg,1.347,0.000,1.764,+1.764
artery_density,1.531,0.000,1.555,+1.555
artery_mean_deg,1.531,0.000,1.555,+1.555
vein_std_diam,1.348,0.000,0.256,+1.348
airway_density,1.017,1.316,0.035,+1.281
airway_mean_deg,1.017,1.316,0.035,+1.281
artery_std_diam,1.279,0.000,0.541,+1.279
vein_mean_tort,1.039,0.000,1.105,+1.105
artery_mean_tort,1.075,0.000,1.095,+1.095
