feature,cluster_0,cluster_1,delta
artery_n_edges,391.617,327.308,+64.310
vein_n_edges,166.348,127.615,+38.732
artery_sum_len,423.609,392.314,+31.295
vein_sum_len,211.497,182.061,+29.436
artery_n_nodes,218.513,196.846,+21.667
vein_n_nodes,108.800,89.846,+18.954
artery_n_bifurc,59.913,47.462,+12.452
vein_n_leaves,83.026,71.115,+11.911
artery_n_leaves,147.243,139.423,+7.820
vein_n_bifurc,21.852,14.962,+6.891
airway_p90_diam,3.496,4.381,+0.885
airway_max_diam,4.125,4.968,+0.843
artery_max_diam,10.270,9.433,+0.837
vein_max_diam,9.618,10.336,+0.717
airway_n_edges,16.713,16.077,+0.636
vein_max_deg,4.183,3.577,+0.606
airway_n_leaves,13.635,13.038,+0.596
airway_n_nodes,14.661,14.115,+0.545
artery_p90_diam,2.539,2.023,+0.516
airway_std_diam,0.971,1.335,+0.364
airway_sum_len,28.794,29.113,+0.319
airway_mean_diam,2.070,2.371,+0.301
artery_std_diam,1.229,0.961,+0.268
artery_max_deg,5.217,4.962,+0.256
vein_p90_diam,2.701,2.452,+0.249
artery_mean_diam,1.845,1.666,+0.179
airway_max_deg,1.374,1.538,+0.165
vein_std_deg,0.833,0.692,+0.140
vein_std_diam,1.468,1.563,+0.095
airway_mean_len,1.947,2.030,+0.084
